domain,record_type,ip_address,source,last_verified_utc,notes
github.com,A,100.100.100.100,system-resolver,2026-08-30,动态补充(ipaddress.com/DoH/系统解析)
github.com,A,20.205.243.166,system-resolver,2026-08-30,动态补充(ipaddress.com/DoH/系统解析)
api.github.com,A,100.100.100.100,system-resolver,2026-08-30,动态补充(ipaddress.com/DoH/系统解析)
api.github.com,A,20.205.243.168,system-resolver,2026-08-30,动态补充(ipaddress.com/DoH/系统解析)
gist.github.com,A,100.100.100.100,system-resolver,2026-08-30,动态补充(ipaddress.com/DoH/系统解析)
gist.github.com,A,159.24.3.173,system-resolver,2026-08-30,动态补充(ipaddress.com/DoH/系统解析)
codeload.github.com,A,100.100.100.100,system-resolver,2026-08-30,动态补充(ipaddress.com/DoH/系统解析)
codeload.github.com,A,20.205.243.165,system-resolver,2026-08-30,动态补充(ipaddress.com/DoH/系统解析)
raw.githubusercontent.com,A,100.100.100.100,system-resolver,2026-08-30,动态补充(ipaddress.com/DoH/系统解析)
raw.githubusercontent.com,A,185.199.108.133,system-resolver,2026-08-30,动态补充(ipaddress.com/DoH/系统解析)
raw.githubusercontent.com,A,185.199.109.133,system-resolver,2026-08-30,动态补充(ipaddress.com/DoH/系统解析)
raw.githubusercontent.com,A,185.199.110.133,system-resolver,2026-08-30,动态补充(ipaddress.com/DoH/系统解析)
raw.githubusercontent.com,A,185.199.111.133,system-resolver,2026-08-30,动态补充(ipaddress.com/DoH/系统解析)
github.global.ssl.fastly.net,A,100.100.100.100,system-resolver,2026-08-30,动态补充(ipaddress.com/DoH/系统解析)
github.global.ssl.fastly.net,A,67.230.169.182,system-resolver,2026-08-30,动态补充(ipaddress.com/DoH/系统解析)
assets-cdn.github.com,A,100.100.100.100,system-resolver,2026-08-30,动态补充(ipaddress.com/DoH/系统解析)
fastly.net,A,100.100.100.100,system-resolver,2026-08-30,动态补充(ipaddress.com/DoH/系统解析)
fastly.net,A,151.101.1.6,system-resolver,2026-08-30,动态补充(ipaddress.com/DoH/系统解析)
fastly.net,A,151.101.129.6,system-resolver,2026-08-30,动态补充(ipaddress.com/DoH/系统解析)
fastly.net,A,151.101.193.6,system-resolver,2026-08-30,动态补充(ipaddress.com/DoH/系统解析)
fastly.net,A,151.101.65.6,system-resolver,2026-08-30,动态补充(ipaddress.com/DoH/系统解析)
github.io,A,100.100.100.100,system-resolver,2026-08-30,动态补充(ipaddress.com/DoH/系统解析)
github.io,A,185.199.108.153,system-resolver,2026-08-30,动态补充(ipaddress.com/DoH/系统解析)
github.io,A,185.199.109.153,system-resolver,2026-08-30,动态补充(ipaddress.com/DoH/系统解析)
github.io,A,185.199.110.153,system-resolver,2026-08-30,动态补充(ipaddress.com/DoH/系统解析)
github.io,A,185.199.111.153,system-resolver,2026-08-30,动态补充(ipaddress.com/DoH/系统解析)
gist.github.com,A,59.24.3.173,system-resolver,2026-08-30,动态补充(ipaddress.com/DoH/系统解析)
github.global.ssl.fastly.net,A,69.63.186.30,system-resolver,2026-08-30,动态补充(ipaddress.com/DoH/系统解析)
github.global.ssl.fastly.net,A,108.160.169.46,system-resolver,2026-09-01,动态补充(ipaddress.com/DoH/系统解析)
github.global.ssl.fastly.net,A,199.59.150.45,system-resolver,2026-09-02,动态补充(ipaddress.com/DoH/系统解析)
